driverStandingsId,raceId,driverId,points,position,positionText,wins,is_classified
1,18,1,10,1,1,1,True
2,18,2,8,2,2,0,True
3,18,3,6,3,3,0,True
4,18,4,5,4,4,0,True
5,18,5,4,5,5,0,True
6,18,6,3,6,6,0,True
7,18,7,2,7,7,0,True
8,18,8,1,8,8,0,True
9,19,1,14,1,1,1,True
10,19,2,11,3,3,0,True
11,19,3,6,6,6,0,True
12,19,4,6,7,7,0,True
13,19,5,10,4,4,0,True
14,19,6,3,9,9,0,True
15,19,7,2,10,10,0,True
16,19,8,11,2,2,1,True
17,19,9,8,5,5,0,True
18,19,15,5,8,8,0,True
19,19,17,2,11,11,0,True
20,19,14,0,12,12,0,True
21,19,18,0,13,13,0,True
22,19,12,0,14,14,0,True
23,19,21,0,15,15,0,True
24,19,22,0,16,16,0,True
25,19,19,0,17,17,0,True
26,19,11,0,18,18,0,True
27,20,1,14,3,3,1,True
28,20,2,16,2,2,0,True
29,20,3,7,8,8,0,True
30,20,4,6,9,9,0,True
31,20,5,14,5,5,0,True
32,20,6,3,11,11,0,True
33,20,7,2,12,12,0,True
34,20,8,19,1,1,1,True
35,20,9,14,4,4,0,True
36,20,15,8,7,7,0,True
37,20,17,4,10,10,0,True
38,20,14,0,13,13,0,True
39,20,18,0,15,15,0,True
40,20,12,0,17,17,0,True
41,20,21,0,18,18,0,True
42,20,22,0,16,16,0,True
43,20,19,0,19,19,0,True
44,20,11,0,20,20,0,True
45,20,13,10,6,6,1,True
46,20,10,0,14,14,0,True
47,20,16,0,21,21,0,True
48,21,1,20,2,2,1,True
49,21,2,16,5,5,0,True
50,21,3,7,9,9,0,True
51,21,4,6,10,10,0,True
52,21,5,14,6,6,0,True
53,21,6,5,11,11,0,True
54,21,7,2,13,13,0,True
55,21,8,29,1,1,2,True
56,21,9,19,3,3,0,True
57,21,15,9,7,7,0,True
58,21,17,8,8,8,0,True
59,21,14,0,15,15,0,True
60,21,18,3,12,12,0,True
61,21,12,0,18,18,0,True
62,21,21,0,16,16,0,True
63,21,22,0,17,17,0,True
64,21,19,0,20,20,0,True
65,21,11,0,19,19,0,True
66,21,13,18,4,4,1,True
67,21,10,0,14,14,0,True
68,21,16,0,21,21,0,True
69,22,1,28,3,3,1,True
70,22,2,20,5,5,0,True
71,22,3,8,10,10,0,True
72,22,4,9,8,8,0,True
73,22,5,14,6,6,0,True
74,22,6,5,11,11,0,True
75,22,7,2,13,13,0,True
76,22,8,35,1,1,2,True
77,22,9,24,4,4,0,True
78,22,15,9,9,9,0,True
79,22,17,10,7,7,0,True
80,22,14,0,14,14,0,True
81,22,18,3,12,12,0,True
82,22,12,0,18,18,0,True
83,22,21,0,16,16,0,True
84,22,22,0,17,17,0,True
85,22,19,0,20,20,0,True
86,22,11,0,19,19,0,True
87,22,13,28,2,2,2,True
88,22,10,0,15,15,0,True
89,22,16,0,21,21,0,True
90,22,20,0,22,22,0,True
91,23,1,38,1,1,2,True
92,23,2,20,5,5,0,True
93,23,3,8,10,10,0,True
94,23,4,9,8,8,0,True
95,23,5,15,6,6,0,True
96,23,6,7,11,11,0,True
97,23,7,2,15,15,0,True
98,23,8,35,2,2,2,True
99,23,9,32,4,4,0,True
100,23,15,9,9,9,0,True
101,23,17,15,7,7,0,True
102,23,14,0,16,16,0,True
103,23,18,3,13,13,0,True
104,23,12,0,19,19,0,True
105,23,21,0,18,18,0,True
106,23,22,3,14,14,0,True
107,23,19,0,21,21,0,True
108,23,11,0,20,20,0,True
109,23,13,34,3,3,2,True
110,23,10,0,17,17,0,True
111,23,16,0,22,22,0,True
112,23,20,4,12,12,0,True
113,24,1,38,2,2,2,True
114,24,2,28,5,5,0,True
115,24,3,8,10,10,0,True
116,24,4,9,9,9,0,True
117,24,5,15,6,6,0,True
118,24,6,7,11,11,0,True
119,24,7,2,17,17,0,True
120,24,8,35,4,4,2,True
121,24,9,42,1,1,1,True
122,24,15,12,8,8,0,True
123,24,17,15,7,7,0,True
124,24,14,6,12,12,0,True
125,24,18,3,16,16,0,True
126,24,12,0,19,19,0,True
127,24,21,0,18,18,0,True
128,24,22,5,15,15,0,True
129,24,19,0,21,21,0,True
130,24,11,0,20,20,0,True
131,24,13,38,3,3,2,True
132,24,10,5,13,13,0,True
133,24,16,0,22,22,0,True
134,24,20,5,14,14,0,True
135,25,1,38,4,4,2,True
136,25,2,28,5,5,0,True
137,25,3,8,10,10,0,True
138,25,4,10,9,9,0,True
139,25,5,20,6,6,0,True
140,25,6,7,11,11,0,True
141,25,7,2,18,18,0,True
142,25,8,43,3,3,2,True
143,25,9,46,2,2,1,True
144,25,15,18,7,7,0,True
145,25,17,18,8,8,0,True
146,25,14,6,12,12,0,True
147,25,18,3,16,16,0,True
148,25,12,2,17,17,0,True
149,25,21,0,19,19,0,True
150,25,22,5,15,15,0,True
151,25,19,0,21,21,0,True
152,25,11,0,20,20,0,True
153,25,13,48,1,1,3,True
154,25,10,5,13,13,0,True
155,25,16,0,22,22,0,True
156,25,20,5,14,14,0,True
157,26,1,48,1,1,3,True
158,26,2,36,5,5,0,True
159,26,3,8,11,11,0,True
160,26,4,13,9,9,0,True
161,26,5,24,6,6,0,True
162,26,6,8,12,12,0,True
163,26,7,2,17,17,0,True
164,26,8,48,3,3,2,True
165,26,9,46,4,4,1,True
166,26,15,20,7,7,0,True
167,26,17,18,8,8,0,True
168,26,14,6,13,13,0,True
169,26,18,3,16,16,0,True
170,26,12,2,18,18,0,True
171,26,21,0,19,19,0,True
172,26,22,11,10,10,0,True
173,26,19,0,21,21,0,True
174,26,11,0,20,20,0,True
175,26,13,48,2,2,3,True
176,26,10,5,14,14,0,True
177,26,16,0,22,22,0,True
178,26,20,5,15,15,0,True
179,27,1,58,1,1,4,True
180,27,2,41,5,5,0,True
181,27,3,8,12,12,0,True
182,27,4,13,9,9,0,True
183,27,5,28,6,6,0,True
184,27,6,8,13,13,0,True
185,27,7,2,18,18,0,True
186,27,8,51,3,3,2,True
187,27,9,48,4,4,1,True
188,27,15,20,7,7,0,True
189,27,17,18,8,8,0,True
190,27,14,6,14,14,0,True
191,27,18,3,17,17,0,True
192,27,12,10,11,11,0,True
193,27,21,0,19,19,0,True
194,27,22,11,10,10,0,True
195,27,19,0,22,22,0,True
196,27,11,0,20,20,0,True
197,27,13,54,2,2,3,True
198,27,10,5,16,16,0,True
199,27,16,0,21,21,0,True
200,27,20,6,15,15,0,True
201,28,1,62,1,1,4,True
202,28,2,41,5,5,0,True
203,28,3,8,13,13,0,True
204,28,4,18,8,8,0,True
205,28,5,38,6,6,1,True
206,28,6,8,14,14,0,True
207,28,7,2,18,18,0,True
208,28,8,57,2,2,2,True
209,28,9,49,4,4,1,True
210,28,15,22,7,7,0,True
211,28,17,18,9,9,0,True
212,28,14,6,15,15,0,True
213,28,18,3,17,17,0,True
214,28,12,13,11,11,0,True
215,28,21,0,19,19,0,True
216,28,22,11,12,12,0,True
217,28,19,0,22,22,0,True
218,28,11,0,20,20,0,True
219,28,13,54,3,3,3,True
220,28,10,13,10,10,0,True
221,28,16,0,21,21,0,True
222,28,20,6,16,16,0,True
223,29,1,70,1,1,4,True
224,29,2,41,6,6,0,True
225,29,3,9,13,13,0,True
226,29,4,18,8,8,0,True
227,29,5,43,5,5,1,True
228,29,6,8,15,15,0,True
229,29,7,2,18,18,0,True
230,29,8,57,3,3,2,True
231,29,9,55,4,4,1,True
232,29,15,26,7,7,0,True
233,29,17,18,9,9,0,True
234,29,14,6,16,16,0,True
235,29,18,3,17,17,0,True
236,29,12,13,11,11,0,True
237,29,21,0,19,19,0,True
238,29,22,11,12,12,0,True
239,29,19,0,22,22,0,True
240,29,11,0,20,20,0,True
241,29,13,64,2,2,4,True
242,29,10,15,10,10,0,True
243,29,16,0,21,21,0,True
244,29,20,9,14,14,0,True
245,30,1,76,1,1,4,True
246,30,2,49,5,5,0,True
247,30,3,9,14,14,0,True
248,30,4,23,8,8,0,True
249,30,5,43,6,6,1,True
250,30,6,8,15,15,0,True
251,30,7,4,17,17,0,True
252,30,8,57,4,4,2,True
253,30,9,58,3,3,1,True
254,30,15,26,7,7,0,True
255,30,17,19,9,9,0,True
256,30,14,6,16,16,0,True
257,30,18,3,18,18,0,True
258,30,12,13,11,11,0,True
259,30,21,0,19,19,0,True
260,30,22,11,13,13,0,True
261,30,19,0,22,22,0,True
262,30,11,0,21,21,0,True
263,30,13,74,2,2,5,True
264,30,10,15,10,10,0,True
265,30,16,0,20,20,0,True
266,30,20,13,12,12,0,True
267,31,1,78,1,1,4,True
268,31,2,53,5,5,0,True
269,31,3,9,14,14,0,True
270,31,4,28,7,7,0,True
